8896	8910	8875	8904	1469	2007-08-13 08:50
8904	8919	8903	8908	988	2007-08-13 08:55
8905	8909	8902	8907	502	2007-08-13 09:00
8906	8923	8905	8915	1055	2007-08-13 09:05
8914	8944	8912	8930	1876	2007-08-13 09:10
8935	8960	8931	8957	1398	2007-08-13 09:15
8957	8957	8938	8943	963	2007-08-13 09:20
8943	8955	8930	8935	867	2007-08-13 09:25
8934	8938	8917	8923	735	2007-08-13 09:30
8923	8928	8910	8910	1034	2007-08-13 09:35
8913	8930	8909	8926	896	2007-08-13 09:40
8924	8932	8922	8928	653	2007-08-13 09:45
8928	8938	8925	8930	704	2007-08-13 09:50
8932	8933	8915	8924	703	2007-08-13 09:55
8924	8928	8920	8925	242	2007-08-13 10:00
8924	8939	8922	8938	490	2007-08-13 10:05
8936	8938	8923	8923	293	2007-08-13 10:10
8922	8925	8906	8915	967	2007-08-13 10:15
8914	8925	8914	8915	400	2007-08-13 10:20
8915	8932	8913	8928	564	2007-08-13 10:25
8929	8934	8925	8934	357	2007-08-13 10:30
8932	8934	8925	8927	338	2007-08-13 10:35
8927	8930	8911	8912	532	2007-08-13 10:40
8912	8918	8895	8899	819	2007-08-13 10:45
8900	8908	8888	8897	663	2007-08-13 10:50
8896	8915	8891	8914	621	2007-08-13 10:55
8913	8919	8909	8916	627	2007-08-13 11:00
8912	8916	8903	8911	286	2007-08-13 11:05
8912	8913	8894	8894	413	2007-08-13 11:10
8891	8907	8891	8895	413	2007-08-13 11:15
8895	8899	8884	8899	813	2007-08-13 11:20
8898	8907	8886	8905	652	2007-08-13 11:25
8905	8905	8887	8893	601	2007-08-13 11:30
8893	8896	8862	8876	1404	2007-08-13 11:35
8877	8877	8851	8860	1389	2007-08-13 11:40
8861	8871	8842	8868	1303	2007-08-13 11:45
8871	8871	8843	8863	825	2007-08-13 11:50
8863	8892	8857	8885	1008	2007-08-13 11:55
8887	8889	8876	8878	568	2007-08-13 12:00
8879	8894	8878	8889	611	2007-08-13 12:05
8891	8908	8889	8906	967	2007-08-13 12:10
8905	8928	8902	8928	1247	2007-08-13 12:15
8926	8945	8925	8942	1311	2007-08-13 12:20
8942	8960	8935	8937	1299	2007-08-13 12:25
8934	8938	8918	8924	826	2007-08-13 12:30
8925	8937	8920	8921	640	2007-08-13 12:35
8918	8920	8905	8917	613	2007-08-13 12:40
8917	8948	8917	8943	653	2007-08-13 12:45
8945	8950	8936	8939	753	2007-08-13 12:50
8938	8943	8923	8925	634	2007-08-13 12:55
8924	8943	8923	8932	525	2007-08-13 13:00
8934	8936	8923	8926	462	2007-08-13 13:05
8926	8931	8905	8905	695	2007-08-13 13:10
8905	8915	8891	8901	1154	2007-08-13 13:15
8902	8928	8893	8920	1087	2007-08-13 13:20
8918	8922	8910	8919	639	2007-08-13 13:25
8919	8923	8914	8916	596	2007-08-13 13:30
8915	8922	8901	8915	852	2007-08-13 13:35
8916	8920	8911	8918	859	2007-08-13 13:40
8925	8925	8925	8925	674	2007-08-13 13:45
8860	8894	8860	8885	1049	2007-08-14 08:50
8882	8887	8875	8883	648	2007-08-14 08:55
8880	8884	8872	8879	481	2007-08-14 09:00
8879	8889	8869	8879	1159	2007-08-14 09:05
